park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
bladon-springs-state-park,19,Bladon Springs State Park,bladon-springs-state-park,,,,,,AL,31.734978,-88.199576,Park Entrance,true,https://www.alapark.com/parks/bladon-springs-state-park,,,,,Alabama state park. Access: public.,,,,,public,Alabama DCNR State Parks,2026-06-29
blue-springs-state-park,1,Blue Springs State Park,blue-springs-state-park,,,,,,AL,31.663978,-85.507697,Park Entrance,true,https://www.alapark.com/parks/blue-springs-state-park,,,,,Alabama state park. Access: public.,,,,,public,Alabama DCNR State Parks,2026-06-29
buck-s-pocket-state-park,2,Buck's Pocket State Park,buck-s-pocket-state-park,,,,,,AL,34.469878,-86.049070,Park Entrance,true,https://www.alapark.com/parks/bucks-pocket-state-park,,,,,Alabama state park. Access: public.,Greater Tickseed,,Buck Moth | Red-bordered Wave | Distinct Quaker | Sycamore Tussock Moth | Common Spring Moth | White-striped Black Moth | Field Sparrow, |  |  |  |  |  | ,public,Alabama DCNR State Parks,2026-06-29
cathedral-caverns-state-park,3,Cathedral Caverns State Park,cathedral-caverns-state-park,,,,,,AL,34.573727,-86.220851,Park Entrance,true,https://www.alapark.com/parks/cathedral-caverns-state-park,,,,,Alabama state park. Access: public.,Greater Tickseed,,Buck Moth | Margined Shining Leaf Chafer | Backroad Tiger Beetle | Curve-toothed Geometer | Waved Sphinx Moth | Spotted June Beetle | Two-spotted Tree Cricket | Ilia Underwing, |  |  |  |  |  |  | ,public,Alabama DCNR State Parks,2026-06-29
cheaha-state-park,4,Cheaha State Park,cheaha-state-park,,,,,,AL,33.460427,-85.818230,Park Entrance,true,https://www.alapark.com/parks/cheaha-state-park,,,,,Alabama state park. Access: public.,,,Yellow Garden Spider | Giant Lichen Orbweaver | Eastern Fence Lizard, |  | ,public,Alabama DCNR State Parks,2026-06-29
chewacla-state-park,5,Chewacla State Park,chewacla-state-park,,,,,,AL,32.554926,-85.508130,Park Entrance,true,https://www.alapark.com/parks/chewacla-state-park,,,,,Alabama state park. Access: public.,,,Checkered Apogeshna | Dotted Ecdytolopha Moth | Grape Leaffolder Moth | Swamp Darner | Ring-necked Duck | Red-footed Cannibalfly | Jack Spaniard Wasp | Red-winged Blackbird, |  |  |  |  |  |  | ,public,Alabama DCNR State Parks,2026-06-29
chickasaw-state-park,21,Chickasaw State Park,chickasaw-state-park,,,,,,AL,32.362852,-87.779525,Park Entrance,true,https://www.alapark.com/parks/chickasaw-state-park,,,,,Alabama state park. Access: public.,,,,,public,Alabama DCNR State Parks,2026-06-29
desoto-state-park,6,Desoto State Park,desoto-state-park,,,,,,AL,34.493177,-85.616390,Park Entrance,true,https://www.alapark.com/parks/desoto-state-park,,,,,Alabama state park. Access: public.,Canada hemlock,,Shagreened Slug Moth | Basswood Leafroller Moth | Early Button Slug Moth | Buck Moth | Yellow-winged Oak Leafroller Moth | Beloved Emarginea Moth | Azalea Sphinx Moth | Darker Diacme Moth, |  |  |  |  |  |  | ,public,Alabama DCNR State Parks,2026-06-29
frank-jackson-state-park,7,Frank Jackson State Park,frank-jackson-state-park,,,,,,AL,31.293660,-86.274589,Park Entrance,true,https://www.alapark.com/parks/frank-jackson-state-park,,,,,Alabama state park. Access: public.,,,,,public,Alabama DCNR State Parks,2026-06-29
gulf-state-park,8,Gulf State Park,gulf-state-park,,,,,,AL,30.252194,-87.666069,Park Entrance,true,https://www.alapark.com/parks/gulf-state-park,,,,,Alabama state park. Access: public.,,,Comet Darner | Gray Kingbird | Black Tern | Pygmy Rattlesnake | Four-spotted Pennant | Polistes bellicosus | Ruddy Turnstone | Horace's Duskywing, |  |  |  |  |  |  | ,public,Alabama DCNR State Parks,2026-06-29
