park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
addison-blockhouse,S00001,Addison Blockhouse Historic State Park,Addison-Blockhouse,Volusia,3,147.93,"2099 N Beach Street, Ormond Beach, FL 32174",Ormond Beach,FL,29.330954,-81.093615,Main Entrance,true,https://www.floridastateparks.org/parks-and-trails/addison-blockhouse-historic-state-park,https://inaturalist-open-data.s3.amazonaws.com/photos/47464049/medium.jpg,genus_catalog,catalog,Horse's Paper Wasp,Florida state park in Volusia. About 148 acres. Access: Open-No Fee Required.,Cucumberleaf Sunflower | Giant leather fern | sea ox-eye | lilac tasselflower | St. Andrew's cross | Coontie | dahoon | Saltmarsh Morning-glory,https://inaturalist-open-data.s3.amazonaws.com/photos/112547785/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/28480556/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/103493/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/67288371/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/72000734/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/20612/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/84984390/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/149905022/medium.jpg,Horse's Paper Wasp | Eastern Spadefoot | Giant Katydid | Pygmy Rattlesnake | Brown Anole | Red-femured Spotted Orbweaver | Southern Two-striped Walkingstick | Ruddy Turnstone,https://inaturalist-open-data.s3.amazonaws.com/photos/47464049/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/47210394/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/6351202/medium.jpeg | https://static.inaturalist.org/photos/115599062/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/16465753/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/10774376/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/148345/medium.jpg | https://static.inaturalist.org/photos/72113850/medium.jpg,Open-No Fee Required,Florida DEP OpenData PARKS_BOUNDARIES,2026-06-21
alafia-river,S00251,Alafia River State Park,Alafia-River,Hillsborough,4,7717.80,"14326 South County Road 39, Lithia, FL 33547",Lithia,FL,27.780120,-82.144739,Main Entrance,true,https://www.floridastateparks.org/parks-and-trails/alafia-river-state-park,https://inaturalist-open-data.s3.amazonaws.com/photos/587009037/medium.jpg,genus_catalog,catalog,Cuban Treefrog,Florida state park in Hillsborough. About 7718 acres. Access: Open-Fee Required.,Tuber Ladder Fern | resurrection fern | Yellow milkwort | Bladey Grass | fetterbush lyonia | lilac tasselflower | skunk vine | black-jack,https://inaturalist-open-data.s3.amazonaws.com/photos/28580632/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/60876987/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/33084403/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/20938016/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/76627901/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/67288371/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/21000007/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/78688129/medium.jpg,Cuban Treefrog | Mabel Orchard Orbweaver | Sandhill Crane | Gopher Tortoise | Southern Toad | Florida Carpenter Ant | Sheepshead | Banded Sphinx Moth,https://inaturalist-open-data.s3.amazonaws.com/photos/587009037/medium.jpg | https://static.inaturalist.org/photos/59785261/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/13313330/medium.jpg | https://static.inaturalist.org/photos/544349/medium.jpg | https://static.inaturalist.org/photos/13935922/medium.jpg | https://static.inaturalist.org/photos/52135431/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/458905770/medium.jpeg | https://static.inaturalist.org/photos/80638345/medium.jpeg,Open-Fee Required,Florida DEP OpenData PARKS_BOUNDARIES,2026-06-21
maclay-gardens,S00002,Alfred B. Maclay Gardens State Park,Maclay-Gardens,Leon,1,1170.19,"3540 Thomasville Rd., Tallahassee, FL 32309",Tallahassee,FL,30.513417,-84.246496,Main Entrance,true,https://www.floridastateparks.org/MaclayGardens,https://inaturalist-open-data.s3.amazonaws.com/photos/13331968/medium.png,inaturalist_observation,cc-by,"(c) Dr. Andrew G. Cannizzaro, some rights reserved (CC BY)",Florida state park in Leon. About 1170 acres. Access: Open-Fee Required.,Coralberry | spurge nettle | Florida Hedgenettle | Sandhill milkweed | southern live oak | Wandering Jew | Cherokee Bean | Largeflower pink-sorrel,https://static.inaturalist.org/photos/40043710/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/103570/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/45199648/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/79983188/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/90880312/medium.jpg | https://static.inaturalist.org/photos/41283698/medium.jpg | https://static.inaturalist.org/photos/179005324/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/178040648/medium.jpg,Barking Tree Frog | Southern Toad | Golden-banded Skipper | Squirrel Tree Frog | Whirlabout | Southern Cricket Frog | Carolina Satyr | Long-tailed Skipper,https://inaturalist-open-data.s3.amazonaws.com/photos/1653672/medium.JPG | https://static.inaturalist.org/photos/13935922/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/139390/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/1653672/medium.JPG | https://inaturalist-open-data.s3.amazonaws.com/photos/166069/medium.jpg | https://static.inaturalist.org/photos/120624/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/94153948/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/4540422/medium.jpg,Open-Fee Required,Florida DEP OpenData PARKS_BOUNDARIES,2026-06-21
catfish-creek,S00229,Allen David Broussard Catfish Creek Preserve State Park,Catfish-Creek,Polk,3,8329.22,"4335 Firetower Rd., Haines City, FL 33844",Haines City,FL,27.983997,-81.497129,Main Entrance,true,https://www.floridastateparks.org/parks-and-trails/allen-david-broussard-catfish-creek-preserve-state-park,https://inaturalist-open-data.s3.amazonaws.com/photos/162222600/medium.jpg,inaturalist_observation,cc0,no rights reserved,Florida state park in Polk. About 8329 acres. Access: Open-No Fee Required.,Yellow milkwort | turkey oak | dahoon | pondcypress | toothed midsorus fern | sand live oak | slash pine | saw palmetto,https://inaturalist-open-data.s3.amazonaws.com/photos/33084403/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/90880312/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/84984390/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/149007652/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/30558649/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/90880312/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/54643374/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/38214/medium.jpg,Oak Toad | Southern Toad | Giant Katydid | Southern Two-striped Walkingstick | Corn Snake | Florida Scrub Jay | Eastern Diamondback Rattlesnake | Peninsular Cooter,https://static.inaturalist.org/photos/13935922/medium.jpg | https://static.inaturalist.org/photos/13935922/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/6351202/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/148345/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/149943221/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/8518/medium.jpg | https://static.inaturalist.org/photos/29329883/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/22477/medium.jpg,Open-No Fee Required,Florida DEP OpenData PARKS_BOUNDARIES,2026-06-21
amelia-island,S00192,Amelia Island State Park,Amelia-Island,Nassau,2,235.68,"9549 1st Coast Hwy., Fernandina Beach, FL 32034",Fernandina Beach,FL,30.524501,-81.442162,Main Entrance,true,https://www.floridastateparks.org/park/Amelia-Island,https://inaturalist-open-data.s3.amazonaws.com/photos/14918172/medium.jpg,inaturalist_observation,cc-by,"(c) Marie Hosch, some rights reserved (CC BY)",Florida state park in Nassau. About 236 acres. Access: Open-Fee Required.,sea oats | spurge nettle | air potato | beach morning glory | Beach Croton | Carolina laurelcherry | Earleaf Greenbrier | southern magnolia,https://inaturalist-open-data.s3.amazonaws.com/photos/137790/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/103570/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/38126368/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/149905022/medium.jpg | https://static.inaturalist.org/photos/87500651/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/93584919/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/4320719/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/116481151/medium.jpg,Red-femured Spotted Orbweaver | Gopher Tortoise | Eastern Glass Lizard | Squirrel Tree Frog | Black Scoter | Wilson's Plover | Red Knot | Boat-tailed Grackle,https://inaturalist-open-data.s3.amazonaws.com/photos/10774376/medium.jpg | https://static.inaturalist.org/photos/544349/medium.jpg | https://static.inaturalist.org/photos/19927545/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/1653672/medium.JPG | https://inaturalist-open-data.s3.amazonaws.com/photos/2162/medium.jpg | https://static.inaturalist.org/photos/378655607/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/439537891/medium.jpeg | https://static.inaturalist.org/photos/308289799/medium.jpg,Open-Fee Required,Florida DEP OpenData PARKS_BOUNDARIES,2026-06-21
anastasia,S00003,Anastasia State Park,Anastasia,St. Johns,3,1593.17,"300 Anastasia Park Rd., St. Augustine, FL 32080",St. Augustine,FL,29.880443,-81.285876,Main Entrance,true,https://www.floridastateparks.org/anastasia,https://static.inaturalist.org/photos/544349/medium.jpg,genus_catalog,catalog,Gopher Tortoise,Florida state park in St. Johns. About 1593 acres. Access: Open-Fee Required.,Earleaf Greenbrier | fourpetal St. Johnswort | fetterbush lyonia | black mangrove | sea oats | dahoon | spurge nettle | inkberry,https://inaturalist-open-data.s3.amazonaws.com/photos/4320719/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/72000734/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/76627901/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/232322610/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/137790/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/84984390/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/103570/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/84984390/medium.jpg,Gopher Tortoise | Eastern Glass Lizard | Pygmy Rattlesnake | Southern Two-striped Walkingstick | Ruddy Turnstone | Devil's Horse | Brown-winged Striped Sweat Bee | Florida Cottonmouth,https://static.inaturalist.org/photos/544349/medium.jpg | https://static.inaturalist.org/photos/19927545/medium.jpeg | https://static.inaturalist.org/photos/115599062/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/148345/medium.jpg | https://static.inaturalist.org/photos/72113850/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/25314/medium.jpg | https://static.inaturalist.org/photos/41193264/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/53762888/medium.jpg,Open-Fee Required,Florida DEP OpenData PARKS_BOUNDARIES,2026-06-21
anclote-key,S00004,Anclote Key Preserve State Park,Anclote-Key,"Pinellas, Pasco",4,12209.61,"Tarpon Springs, FL 34689",,FL,28.165492,-82.840428,Main Entrance,true,https://www.floridastateparks.org/parks-and-trails/anclote-key-preserve-state-park,https://inaturalist-open-data.s3.amazonaws.com/photos/48864870/medium.jpg,inaturalist_observation,cc-by,"(c) Arturo Santos, some rights reserved (CC BY)","Florida state park in Pinellas, Pasco. About 12210 acres. Access: Open-Fee Required.",Cucumberleaf Sunflower | toothed midsorus fern | White Mangrove | Brazilian pepper | largeflower Mexican clover | Carolina palmetto | slash pine | orange milkwort,https://inaturalist-open-data.s3.amazonaws.com/photos/112547785/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/30558649/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/125424111/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/306157027/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/251301981/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/131410903/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/54643374/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/33084403/medium.jpg,Gopher Tortoise | Laughing Gull | Brown Anole | Pygmy Rattlesnake | Florida Carpenter Ant | Royal Tern | Tropical House Gecko | Wood Stork,https://static.inaturalist.org/photos/544349/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/509746212/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/16465753/medium.jpg | https://static.inaturalist.org/photos/115599062/medium.jpg | https://static.inaturalist.org/photos/52135431/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/4202336/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/52412038/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/182242270/medium.jpg,Open-Fee Required,Florida DEP OpenData PARKS_BOUNDARIES,2026-06-21
suwannee-river-wilderness-state-trail,S00269,Anderson's Landing (Managed by Manatee Springs State Park),suwannee-river-wilderness-state-trail,Dixie,2,2.68,"23103 Se 349 Hwy, Suwannee, Fl 32692",,FL,29.330012,-83.143136,Main Entrance,true,http://www.billsfishcamp.com/,https://inaturalist-open-data.s3.amazonaws.com/photos/22851746/medium.jpg,genus_catalog,catalog,Brown Watersnake,Florida state park in Dixie. About 3 acres. Access: Open-Fee Required.,sand live oak | Coontie | orange milkwort | Swamp Leather Flower | Anglepod | fetterbush lyonia | candyroot | Yellow milkwort,https://inaturalist-open-data.s3.amazonaws.com/photos/90880312/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/20612/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/33084403/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/25083605/medium.jpeg | https://static.inaturalist.org/photos/48119071/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/76627901/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/33084403/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/33084403/medium.jpg,Brown Watersnake | Mud Snake | Southern Two-striped Walkingstick | Pygmy Rattlesnake | Twin-spot Skipper | Broad-winged Skipper | Red Drum | Florida Cottonmouth,https://inaturalist-open-data.s3.amazonaws.com/photos/22851746/medium.jpg | https://static.inaturalist.org/photos/901638/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/148345/medium.jpg | https://static.inaturalist.org/photos/115599062/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/40689828/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/2579269/medium.JPG | https://inaturalist-open-data.s3.amazonaws.com/photos/459978982/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/53762888/medium.jpg,Open-Fee Required,Florida DEP OpenData PARKS_BOUNDARIES,2026-06-21
atlantic-ridge,S00261,Atlantic Ridge Preserve State Park,Atlantic-Ridge,Martin,5,4886.05,"8120 SE Paulson Ave., Stuart, FL 34997",Stuart,FL,27.105854,-80.244829,Main Entrance,true,https://www.floridastateparks.org/parks-and-trails/atlantic-ridge-preserve-state-park,https://inaturalist-open-data.s3.amazonaws.com/photos/27697863/medium.jpeg,genus_catalog,catalog,African Redhead Agama,Florida state park in Martin. About 4886 acres. Access: Open-Prior Arrangement Required.,largeflower Mexican clover | Florida Strangler Fig | Yellow milkwort | Cucumberleaf Sunflower | rosary pea | Cocoplum | Pink Sundew | fetterbush lyonia,https://inaturalist-open-data.s3.amazonaws.com/photos/251301981/medium.jpg | https://static.inaturalist.org/photos/106941726/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/33084403/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/112547785/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/72332/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/1475956/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/61889240/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/76627901/medium.jpg,African Redhead Agama | Florida Scrub Jay | Atala | Gopher Tortoise | Ornate Bella Moth | Northern Curly-tailed Lizard | Corn Snake | Southern Cricket Frog,https://inaturalist-open-data.s3.amazonaws.com/photos/27697863/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/8518/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/90017969/medium.jpeg | https://static.inaturalist.org/photos/544349/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/38029980/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/303966019/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/149943221/medium.jpg | https://static.inaturalist.org/photos/120624/medium.jpg,Open-Prior Arrangement Required,Florida DEP OpenData PARKS_BOUNDARIES,2026-06-21
avalon,S00202,Avalon State Park,Avalon,St. Lucie,5,657.58,"5400 A1A Fort Pierce, FL 34949",,FL,27.538508,-80.316568,Main Entrance,true,https://www.floridastateparks.org/parks-and-trails/avalon-state-park,https://inaturalist-open-data.s3.amazonaws.com/photos/340526031/medium.jpeg,inaturalist_observation,cc0,no rights reserved,Florida state park in St. Lucie. About 658 acres. Access: Open-Fee Required.,largeflower Mexican clover | fourpetal St. Johnswort | Beach Bean | Red Tasselflower | Narrowleaf Silkgrass | Cucumberleaf Sunflower | Earleaf Greenbrier | dahoon,https://inaturalist-open-data.s3.amazonaws.com/photos/251301981/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/72000734/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/137395/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/67288371/medium.jpeg | https://static.inaturalist.org/photos/579228/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/112547785/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/4320719/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/84984390/medium.jpg,African Redhead Agama | Southern Cricket Frog | Corn Snake | Southeastern Five-lined Skink | Sandhill Crane | Florida Softshell Turtle | Northern Curly-tailed Lizard | French Angelfish,https://inaturalist-open-data.s3.amazonaws.com/photos/27697863/medium.jpeg | https://static.inaturalist.org/photos/120624/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/149943221/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/355079313/medium.jpeg | https://inaturalist-open-data.s3.amazonaws.com/photos/13313330/medium.jpg | https://static.inaturalist.org/photos/38993598/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/303966019/medium.jpg | https://inaturalist-open-data.s3.amazonaws.com/photos/78719/medium.jpg,Open-Fee Required,Florida DEP OpenData PARKS_BOUNDARIES,2026-06-21
