park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
a-h-stephens-state-park,128,A. H. Stephens State Park,a-h-stephens-state-park,,,,,,GA,33.579647,-82.891181,polygon_centroid,true,https://gastateparks.org/a-h-stephens,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
amicalola-falls-state-park,148,Amicalola Falls State Park,amicalola-falls-state-park,,,,,,GA,34.574475,-84.226983,polygon_centroid,true,https://gastateparks.org/amicalola-falls,,,,,Georgia state park. Access: public.,Virginia pine,,Black-bellied Salamander | Seal Salamander | Red Salamander | Southern Two-lined Salamander | Timber Rattlesnake, |  |  |  | ,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
balls-ferry-state-park,151,Balls Ferry State Park,balls-ferry-state-park,,,,,,GA,32.789146,-82.960629,polygon_centroid,true,https://gastateparks.org/balls-ferry,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
black-rock-mountain-state-park,160,Black Rock Mountain State Park,black-rock-mountain-state-park,,,,,,GA,34.915210,-83.410407,polygon_centroid,true,https://gastateparks.org/black-rock-mountain,,,,,Georgia state park. Access: public.,,,Common True Katydid | Blue Ridge Two-lined Salamander | Black-and-yellow Lichen Moth | Saddleback Caterpillar Moth | Black-bellied Salamander | Whitebanded Fishing Spider | Black-shouldered Spinyleg, |  |  |  |  |  | ,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
bush-head-shoals-state-park,172,Bush Head Shoals State Park,bush-head-shoals-state-park,,,,,,GA,33.312784,-85.077699,polygon_centroid,true,https://gastateparks.org/bush-head-shoals,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
chattahoochee-bend-state-park,180,Chattahoochee Bend State Park,chattahoochee-bend-state-park,,,,,,GA,33.433703,-84.980486,polygon_centroid,true,https://gastateparks.org/chattahoochee-bend,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
cloudland-canyon-state-park,201,Cloudland Canyon State Park,cloudland-canyon-state-park,,,,,,GA,34.842004,-85.448538,polygon_centroid,true,https://gastateparks.org/cloudland-canyon,,,,,Georgia state park. Access: public.,,,Comet Darner,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
crooked-river-state-park,210,Crooked River State Park,crooked-river-state-park,,,,,,GA,30.843032,-81.549883,polygon_centroid,true,https://gastateparks.org/crooked-river,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
don-carter-state-park,75,Don Carter State Park,don-carter-state-park,,,,,,GA,34.386448,-83.744776,polygon_centroid,true,https://gastateparks.org/don-carter,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
elijah-clarke-state-park,80,Elijah Clarke State Park,elijah-clarke-state-park,,,,,,GA,33.855846,-82.407293,polygon_centroid,true,https://gastateparks.org/elijah-clarke,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
f-d-roosevelt-state-park,233,F. D. Roosevelt State Park,f-d-roosevelt-state-park,,,,,,GA,32.866314,-84.740520,polygon_centroid,true,https://gastateparks.org/f-d-roosevelt,,,,,Georgia state park. Access: public.,longleaf pine | blackjack oak, | ,White-jawed Jumping Spider,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
florence-marina-state-park,82,Florence Marina State Park,florence-marina-state-park,,,,,,GA,32.091396,-85.042748,polygon_centroid,true,https://gastateparks.org/florence-marina,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
fort-mcallister-state-park,253,Fort Mcallister State Park,fort-mcallister-state-park,,,,,,GA,31.886444,-81.189640,polygon_centroid,true,https://gastateparks.org/fort-mcallister,,,,,Georgia state park. Access: public.,ladder fern,,Common Buckeye | Downy Woodpecker | Northern Parula | Rainbow Scarab | Florida Leaf-footed Bug | Eastern Diamondback Rattlesnake | Hardwood Stump Borer | Eastern Meadowlark, |  |  |  |  |  |  | ,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
fort-mountain-state-park,255,Fort Mountain State Park,fort-mountain-state-park,,,,,,GA,34.763378,-84.701419,polygon_centroid,true,https://gastateparks.org/fort-mountain,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
fort-yargo-state-park,256,Fort Yargo State Park,fort-yargo-state-park,,,,,,GA,33.965061,-83.732632,polygon_centroid,true,https://gastateparks.org/fort-yargo,,,,,Georgia state park. Access: public.,,,Chestnut Carpenter Ant | American Redstart | Bent-line Carpet | Spiny Oakworm Moth, |  |  | ,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
general-coffee-state-park,257,General Coffee State Park,general-coffee-state-park,,,,,,GA,31.522752,-82.767664,polygon_centroid,true,https://gastateparks.org/general-coffee,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
george-bagby-state-park,83,George Bagby State Park,george-bagby-state-park,,,,,,GA,31.667398,-85.048049,polygon_centroid,true,https://gastateparks.org/george-bagby,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
george-l-smith-state-park,259,George L. Smith State Park,george-l-smith-state-park,,,,,,GA,32.558130,-82.117916,polygon_centroid,true,https://gastateparks.org/george-l-smith,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
georgia-veterans-state-park,260,Georgia Veterans State Park,georgia-veterans-state-park,,,,,,GA,31.960001,-83.909230,polygon_centroid,true,https://gastateparks.org/georgia-veterans,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
gordonia-alatamaha-state-park,261,Gordonia-Alatamaha State Park,gordonia-alatamaha-state-park,,,,,,GA,32.090867,-82.136407,polygon_centroid,true,https://gastateparks.org/gordonia-alatamaha,,,,,Georgia state park. Access: public.,,,,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
hard-labor-creek-state-park,269,Hard Labor Creek State Park,hard-labor-creek-state-park,,,,,,GA,33.667646,-83.613748,polygon_centroid,true,https://gastateparks.org/hard-labor-creek,,,,,Georgia state park. Access: public.,,,Snow Goose,,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
high-falls-state-park,273,High Falls State Park,high-falls-state-park,,,,,,GA,33.194222,-84.035447,polygon_centroid,true,https://gastateparks.org/high-falls,,,,,Georgia state park. Access: public.,,,Seal Salamander | Spotted Dusky Salamander | Eastern Worm Snake | Turquoise Bluet | Dusky Dancer, |  |  |  | ,public,Georgia DNR Conservation Lands (State Parks),2026-06-29
