park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
buccaneer-state-park,38,Buccaneer State Park,buccaneer-state-park,,,,,,MS,30.268072,-89.404245,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,Black Scoter | Least Tern | Sandwich Tern | Semipalmated Sandpiper, |  |  | ,public,MARIS MS State Parks 2019,2026-06-29
casey-jones-state-park,2,Casey Jones State Park,casey-jones-state-park,,,,,,MS,32.806981,-90.041929,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
clark-creek-state-park,23,Clark Creek State Park,clark-creek-state-park,,,,,,MS,31.061141,-91.522030,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,Black-crowned Night Heron | Little Blue Heron, | ,public,MARIS MS State Parks 2019,2026-06-29
clarkco-state-park,3,Clarkco State Park,clarkco-state-park,,,,,,MS,32.091433,-88.689216,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
florewood-river-plantation-state-park,6,Florewood River Plantation State Park,florewood-river-plantation-state-park,,,,,,MS,33.525746,-90.249151,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
george-p-cossar-state-park,16,George P. Cossar State Park,george-p-cossar-state-park,,,,,,MS,34.130189,-89.881783,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
golden-memorial-state-park,19,Golden Memorial State Park,golden-memorial-state-park,,,,,,MS,32.575046,-89.405570,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
great-river-road-state-park,43,Great River Road State Park,great-river-road-state-park,,,,,,MS,33.844248,-91.035505,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
holmes-county-state-park,24,Holmes County State Park,holmes-county-state-park,,,,,,MS,33.026884,-89.908727,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
hugh-white-state-park,15,Hugh White State Park,hugh-white-state-park,,,,,,MS,33.810614,-89.741842,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
john-w-kyle-state-park,48,John W. Kyle State Park,john-w-kyle-state-park,,,,,,MS,34.419848,-89.804123,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
jp-coleman-state-park,1,Jp Coleman State Park,jp-coleman-state-park,,,,,,MS,34.925477,-88.187181,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
lake-lincoln-state-park,8,Lake Lincoln State Park,lake-lincoln-state-park,,,,,,MS,31.681412,-90.338157,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
lake-lowndes-state-park-state-park,46,Lake Lowndes State Park,lake-lowndes-state-park-state-park,,,,,,MS,33.427868,-88.301625,polygon_centroid,true,https://www.mdwfp.com/parks-fishing/state-parks,,,,,Mississippi state park. Access: public.,,,,,public,MARIS MS State Parks 2019,2026-06-29
