park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
carolina-beach-state-park,412,Carolina Beach State Park,carolina-beach-state-park,,,331.58,,,NC,34.047449,-77.912031,polygon_centroid,true,https://www.ncparks.gov/carolina-beach-state-park,,,,,North Carolina state park. About 332 acres. Access: public.,sand live oak | longleaf pine, | ,Spotted Turtle | Tersa Sphinx | Twinflagged Jumping Spider, |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
carolina-beach-state-park-leased,8987,Carolina Beach State Park (Leased),carolina-beach-state-park-leased,,,296.04,,,NC,34.041325,-77.919217,polygon_centroid,true,https://www.ncparks.gov/carolina-beach-state-park-leased,,,,,North Carolina state park. About 296 acres. Access: public.,sand live oak | longleaf pine, | ,Spotted Turtle | Twinflagged Jumping Spider | Tersa Sphinx, |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
carolina-beach-state-park-registered-heritage-area,20928,Carolina Beach State Park Registered Heritage Area,carolina-beach-state-park-registered-heritage-area,,,354.37,,,NC,34.042303,-77.919091,polygon_centroid,true,https://www.ncparks.gov/carolina-beach-state-park-registered-heritage-area,,,,,North Carolina state park. About 354 acres. Access: public.,sand live oak | longleaf pine, | ,Spotted Turtle | Twinflagged Jumping Spider | Tersa Sphinx, |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
carolina-beach-state-park-unique-wetlands,8988,Carolina Beach State Park Unique Wetlands,carolina-beach-state-park-unique-wetlands,,,4.94,,,NC,34.046646,-77.913869,polygon_centroid,true,https://www.ncparks.gov/carolina-beach-state-park-unique-wetlands,,,,,North Carolina state park. About 5 acres. Access: public.,sand live oak | longleaf pine, | ,Spotted Turtle | Tersa Sphinx | Twinflagged Jumping Spider, |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
carvers-creek-state-park,455,Carvers Creek State Park,carvers-creek-state-park,,,4896.93,,,NC,35.191595,-78.883348,polygon_centroid,true,https://www.ncparks.gov/carvers-creek-state-park,,,,,North Carolina state park. About 4897 acres. Access: public.,,,Margined Shining Leaf Chafer | Jack Spaniard Wasp | Common Tan Wave | Red-cockaded Woodpecker | Fragile Forktail | Orange Bluet | Black Cutworm | Soybean Looper, |  |  |  |  |  |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
carvers-creek-state-park-dedicated-nature-preserve,20930,Carvers Creek State Park Dedicated Nature Preserve,carvers-creek-state-park-dedicated-nature-preserve,,,2941.89,,,NC,35.191705,-78.882280,polygon_centroid,true,https://www.ncparks.gov/carvers-creek-state-park-dedicated-nature-preserve,,,,,North Carolina state park. About 2942 acres. Access: public.,,,Margined Shining Leaf Chafer | Jack Spaniard Wasp | Common Tan Wave | Red-cockaded Woodpecker | Fragile Forktail | Orange Bluet | Black Cutworm | Soybean Looper, |  |  |  |  |  |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
carvers-creek-state-park-proposed-dedicated-nature-preserve,20931,Carvers Creek State Park Proposed Dedicated Nature Preserve,carvers-creek-state-park-proposed-dedicated-nature-preserve,,,29.27,,,NC,35.204614,-78.907269,polygon_centroid,true,https://www.ncparks.gov/carvers-creek-state-park-proposed-dedicated-nature-preserve,,,,,North Carolina state park. About 29 acres. Access: public.,,,Margined Shining Leaf Chafer | Jack Spaniard Wasp | Common Tan Wave | Red-cockaded Woodpecker | Fragile Forktail | Orange Bluet | Black Cutworm | Soybean Looper, |  |  |  |  |  |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
chimney-rock-state-park,609,Chimney Rock State Park,chimney-rock-state-park,,,7160.56,,,NC,35.397379,-82.252579,polygon_centroid,true,https://www.ncparks.gov/chimney-rock-state-park,,,,,North Carolina state park. About 7161 acres. Access: public.,,,Grizzly Spur-throat Grasshopper | Timber Rattlesnake | Banded Pennant | Wheel Bug, |  |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
chimney-rock-state-park-dedicated-nature-preserve,20945,Chimney Rock State Park Dedicated Nature Preserve,chimney-rock-state-park-dedicated-nature-preserve,,,6018.61,,,NC,35.396048,-82.253340,polygon_centroid,true,https://www.ncparks.gov/chimney-rock-state-park-dedicated-nature-preserve,,,,,North Carolina state park. About 6019 acres. Access: public.,,,Timber Rattlesnake | Grizzly Spur-throat Grasshopper | Banded Pennant | Wheel Bug, |  |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
cliffs-of-the-neuse-state-park,2992,Cliffs of the Neuse State Park,cliffs-of-the-neuse-state-park,,,1069.39,,,NC,35.231222,-77.875215,polygon_centroid,true,https://www.ncparks.gov/cliffs-of-the-neuse-state-park,,,,,North Carolina state park. About 1069 acres. Access: public.,,,,,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
cliffs-of-the-neuse-state-park-registered-heritage-area,20951,Cliffs of the Neuse State Park Registered Heritage Area,cliffs-of-the-neuse-state-park-registered-heritage-area,,,330.38,,,NC,35.235467,-77.873207,polygon_centroid,true,https://www.ncparks.gov/cliffs-of-the-neuse-state-park-registered-heritage-area,,,,,North Carolina state park. About 330 acres. Access: public.,,,,,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
crowders-mountain-state-park,3141,Crowders Mountain State Park,crowders-mountain-state-park,,,5208.52,,,NC,35.181028,-81.342976,polygon_centroid,true,https://www.ncparks.gov/crowders-mountain-state-park,,,,,North Carolina state park. About 5209 acres. Access: public.,Virginia pine,,Dusky Salamander | Common Box Turtle, | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
crowders-mountain-state-park-dedicated-nature-preserve,20962,Crowders Mountain State Park Dedicated Nature Preserve,crowders-mountain-state-park-dedicated-nature-preserve,,,2837.14,,,NC,35.177649,-81.350779,polygon_centroid,true,https://www.ncparks.gov/crowders-mountain-state-park-dedicated-nature-preserve,,,,,North Carolina state park. About 2837 acres. Access: public.,Virginia pine,,Dusky Salamander | Common Box Turtle, | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
dismal-swamp-state-park,3297,Dismal Swamp State Park,dismal-swamp-state-park,,,14351.76,,,NC,36.513640,-76.365552,polygon_centroid,true,https://www.ncparks.gov/dismal-swamp-state-park,,,,,North Carolina state park. About 14352 acres. Access: public.,,,Rough Green Snake | Palamedes Swallowtail, | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
elk-knob-state-park,3455,Elk Knob State Park,elk-knob-state-park,,,4748.04,,,NC,36.395820,-81.654023,polygon_centroid,true,https://www.ncparks.gov/elk-knob-state-park,,,,,North Carolina state park. About 4748 acres. Access: public.,eastern white pine,,Leconte's Haploa | The Bad-wing | Northern Paper Wasp, |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
elk-knob-state-park-dedicated-nature-preserve,20992,Elk Knob State Park Dedicated Nature Preserve,elk-knob-state-park-dedicated-nature-preserve,,,2278.79,,,NC,36.349340,-81.702116,polygon_centroid,true,https://www.ncparks.gov/elk-knob-state-park-dedicated-nature-preserve,,,,,North Carolina state park. About 2279 acres. Access: public.,black-eyed-Susan,,Leconte's Haploa | The Bad-wing | Northern Paper Wasp, |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
elk-knob-state-park-proposed-dedication-nature-preserve,16979,Elk Knob State Park Proposed Dedication Nature Preserve,elk-knob-state-park-proposed-dedication-nature-preserve,,,28.83,,,NC,36.342243,-81.702997,polygon_centroid,true,https://www.ncparks.gov/elk-knob-state-park-proposed-dedication-nature-preserve,,,,,North Carolina state park. About 29 acres. Access: public.,black-eyed-Susan,,Leconte's Haploa | The Bad-wing | Northern Paper Wasp, |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
eno-river-state-park,3482,Eno River State Park,eno-river-state-park,,,4673.40,,,NC,36.052501,-78.990960,polygon_centroid,true,https://www.ncparks.gov/eno-river-state-park,,,,,North Carolina state park. About 4673 acres. Access: public.,shortleaf pine | downy lobelia | Greater Tickseed | loblolly pine | sensitive pea | cardinal flower | partridge pea | Indian tobacco, |  |  |  |  |  |  | ,Posturing Arta Moth | White Micrathena | Leptoglossus oppositus | Olive Arta Moth | Versute Sharpshooter | Black-dotted Ruddy Moth | Whitebanded Fishing Spider | Eastern Worm Snake, |  |  |  |  |  |  | ,public,NC Natural Heritage Managed Areas (State Parks),2026-06-29
