park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
aiken-state-park,1,Aiken State Park,aiken-state-park,,,1167.00,,,SC,33.552879,-81.481171,polygon_centroid,true,https://southcarolinaparks.com/park/aiken-state-park,,,,,South Carolina state park. About 1167 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
andrew-jackson-state-park,2,Andrew Jackson State Park,andrew-jackson-state-park,,,325.00,,,SC,34.841064,-80.805480,polygon_centroid,true,https://southcarolinaparks.com/park/andrew-jackson-state-park,,,,,South Carolina state park. About 325 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
baker-creek-state-park,3,Baker Creek State Park,baker-creek-state-park,,,1238.00,,,SC,33.886238,-82.360983,polygon_centroid,true,https://southcarolinaparks.com/park/baker-creek-state-park,,,,,South Carolina state park. About 1238 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
barnwell-state-park,4,Barnwell State Park,barnwell-state-park,,,316.00,,,SC,33.329348,-81.303512,polygon_centroid,true,https://southcarolinaparks.com/park/barnwell-state-park,,,,,South Carolina state park. About 316 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
blackstock-battlefield-historical-site,53,Blackstock Battlefield Historical Site,blackstock-battlefield-historical-site,,,107.00,,,SC,34.680643,-81.811850,polygon_centroid,true,https://southcarolinaparks.com/park/blackstock-battlefield-historical-site,,,,,South Carolina state park. About 107 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
calhoun-falls-state-park,5,Calhoun Falls State Park,calhoun-falls-state-park,,,483.00,,,SC,34.106810,-82.620291,polygon_centroid,true,https://southcarolinaparks.com/park/calhoun-falls-state-park,,,,,South Carolina state park. About 483 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
charles-towne-landing-historic-site,6,Charles Towne Landing Historic Site,charles-towne-landing-historic-site,,,638.00,,,SC,32.806446,-79.986918,polygon_centroid,true,https://southcarolinaparks.com/park/charles-towne-landing-historic-site,,,,,South Carolina state park. About 638 acres. Access: public.,Spanish moss | resurrection fern | Carolina palmetto | pickerelweed | southern live oak, |  |  |  | ,Nelson's Sharp-tailed Sparrow | Acadian Flycatcher, | ,public,SCDNR South Carolina State Parks,2026-06-29
cheraw-state-park,7,Cheraw State Park,cheraw-state-park,,,7335.00,,,SC,34.621198,-79.944618,polygon_centroid,true,https://southcarolinaparks.com/park/cheraw-state-park,,,,,South Carolina state park. About 7335 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
chester-state-park,8,Chester State Park,chester-state-park,,,527.00,,,SC,34.676096,-81.238871,polygon_centroid,true,https://southcarolinaparks.com/park/chester-state-park,,,,,South Carolina state park. About 527 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
colleton-state-park,9,Colleton State Park,colleton-state-park,,,40.00,,,SC,33.063362,-80.615978,polygon_centroid,true,https://southcarolinaparks.com/park/colleton-state-park,,,,,South Carolina state park. About 40 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
colonial-dorchester-historic-site,10,Colonial Dorchester Historic Site,colonial-dorchester-historic-site,,,333.00,,,SC,32.949655,-80.168588,polygon_centroid,true,https://southcarolinaparks.com/park/colonial-dorchester-historic-site,,,,,South Carolina state park. About 333 acres. Access: public.,resurrection fern | baldcypress | pickerelweed, |  | ,Northern Dusk Singing Cicada | Eastern Gray Squirrel | American Bird Grasshopper | Green June Beetle | Common Grackle | Fish Crow | Yellow-bellied Sapsucker | Variable Dancer, |  |  |  |  |  |  | ,public,SCDNR South Carolina State Parks,2026-06-29
croft-state-park,11,Croft State Park,croft-state-park,,,6990.00,,,SC,34.886505,-81.846760,polygon_centroid,true,https://southcarolinaparks.com/park/croft-state-park,,,,,South Carolina state park. About 6990 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
devils-fork-state-park,12,Devils Fork State Park,devils-fork-state-park,,,583.00,,,SC,34.962260,-82.951217,polygon_centroid,true,https://southcarolinaparks.com/park/devils-fork-state-park,,,,,South Carolina state park. About 583 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
drayton-hall-property,54,Drayton Hall Property,drayton-hall-property,,,551.00,,,SC,32.867983,-80.072457,polygon_centroid,true,https://southcarolinaparks.com/park/drayton-hall-property,,,,,South Carolina state park. About 551 acres. Access: public.,Spanish moss | Carolina palmetto | pickerelweed | southern live oak | resurrection fern | baldcypress, |  |  |  |  | ,Northern Dusk Singing Cicada | Tersa Sphinx | Eastern Gray Squirrel | Nelson's Sharp-tailed Sparrow | American Bird Grasshopper | Green June Beetle | Common Grackle | Fish Crow, |  |  |  |  |  |  | ,public,SCDNR South Carolina State Parks,2026-06-29
dreher-island-state-park,13,Dreher Island State Park,dreher-island-state-park,,,338.00,,,SC,34.084565,-81.405223,polygon_centroid,true,https://southcarolinaparks.com/park/dreher-island-state-park,,,,,South Carolina state park. About 338 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
edisto-beach-state-park,14,Edisto Beach State Park,edisto-beach-state-park,,,1105.00,,,SC,32.507549,-80.301379,polygon_centroid,true,https://southcarolinaparks.com/park/edisto-beach-state-park,,,,,South Carolina state park. About 1105 acres. Access: public.,,,Greater Yellowlegs | Mottled Duck | Least Tern | Red Knot | Red-breasted Merganser | Gull-billed Tern | Willet, |  |  |  |  |  | ,public,SCDNR South Carolina State Parks,2026-06-29
general-francis-marion-historical-site,51,General Francis Marion Historical Site,general-francis-marion-historical-site,,,14.00,,,SC,33.450310,-80.086820,polygon_centroid,true,https://southcarolinaparks.com/park/general-francis-marion-historical-site,,,,,South Carolina state park. About 14 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
general-isaac-hayne-historical-site,52,General Isaac Hayne Historical Site,general-isaac-hayne-historical-site,,,1.00,,,SC,32.806963,-80.479532,polygon_centroid,true,https://southcarolinaparks.com/park/general-isaac-hayne-historical-site,,,,,South Carolina state park. About 1 acres. Access: public.,,,Greater Yellowlegs | Mottled Duck | Red-breasted Merganser, |  | ,public,SCDNR South Carolina State Parks,2026-06-29
general-thomas-sumter-historical-site,50,General Thomas Sumter Historical Site,general-thomas-sumter-historical-site,,,6.00,,,SC,33.987606,-80.517270,polygon_centroid,true,https://southcarolinaparks.com/park/general-thomas-sumter-historical-site,,,,,South Carolina state park. About 6 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
givhans-ferry-state-park,15,Givhans Ferry State Park,givhans-ferry-state-park,,,1036.00,,,SC,33.032581,-80.373585,polygon_centroid,true,https://southcarolinaparks.com/park/givhans-ferry-state-park,,,,,South Carolina state park. About 1036 acres. Access: public.,shortleaf pine | pickerelweed | baldcypress, |  | ,Northern Dusk Singing Cicada | Tersa Sphinx | Brown Watersnake | American Bird Grasshopper | Green June Beetle | Common Grackle | Fish Crow | Yellow-bellied Sapsucker, |  |  |  |  |  |  | ,public,SCDNR South Carolina State Parks,2026-06-29
goodale-state-park,16,Goodale State Park,goodale-state-park,,,759.00,,,SC,34.286096,-80.517119,polygon_centroid,true,https://southcarolinaparks.com/park/goodale-state-park,,,,,South Carolina state park. About 759 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
h-cooper-black-recreation-area,17,H. Cooper Black Recreation Area,h-cooper-black-recreation-area,,,1141.00,,,SC,34.559694,-79.938560,polygon_centroid,true,https://southcarolinaparks.com/park/h-cooper-black-recreation-area,,,,,South Carolina state park. About 1141 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
hamilton-branch-state-park,18,Hamilton Branch State Park,hamilton-branch-state-park,,,717.00,,,SC,33.750920,-82.223815,polygon_centroid,true,https://southcarolinaparks.com/park/hamilton-branch-state-park,,,,,South Carolina state park. About 717 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
hampton-plantation-historic-site,19,Hampton Plantation Historic Site,hampton-plantation-historic-site,,,281.00,,,SC,33.198979,-79.438331,polygon_centroid,true,https://southcarolinaparks.com/park/hampton-plantation-historic-site,,,,,South Carolina state park. About 281 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
hanging-rock-battleground-property,48,Hanging Rock Battleground Property,hanging-rock-battleground-property,,,242.00,,,SC,34.564119,-80.662661,polygon_centroid,true,https://southcarolinaparks.com/park/hanging-rock-battleground-property,,,,,South Carolina state park. About 242 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
hickory-knob-state-resort-park,20,Hickory Knob State Resort Park,hickory-knob-state-resort-park,,,1001.00,,,SC,33.880368,-82.424670,polygon_centroid,true,https://southcarolinaparks.com/park/hickory-knob-state-resort-park,,,,,South Carolina state park. About 1001 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
hunting-island-state-park,21,Hunting Island State Park,hunting-island-state-park,,,5291.00,,,SC,32.369202,-80.467967,polygon_centroid,true,https://southcarolinaparks.com/park/hunting-island-state-park,,,,,South Carolina state park. About 5291 acres. Access: public.,,,Pine Warbler | Gull-billed Tern | Willet, |  | ,public,SCDNR South Carolina State Parks,2026-06-29
huntington-beach-state-park,22,Huntington Beach State Park,huntington-beach-state-park,,,1625.00,,,SC,33.523008,-79.053437,polygon_centroid,true,https://southcarolinaparks.com/park/huntington-beach-state-park,,,,,South Carolina state park. About 1625 acres. Access: public.,,,Willet | Whitebanded Fishing Spider | Least Tern | Bonaparte's Gull, |  |  | ,public,SCDNR South Carolina State Parks,2026-06-29
keowee-toxaway-state-park,23,Keowee-Toxaway State Park,keowee-toxaway-state-park,,,1010.00,,,SC,34.932997,-82.886166,polygon_centroid,true,https://southcarolinaparks.com/park/keowee-toxaway-state-park,,,,,South Carolina state park. About 1010 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
kings-mountain-state-park,24,Kings Mountain State Park,kings-mountain-state-park,,,6947.00,,,SC,35.125760,-81.355565,polygon_centroid,true,https://southcarolinaparks.com/park/kings-mountain-state-park,,,,,South Carolina state park. About 6947 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
lake-greenwood-state-park,25,Lake Greenwood State Park,lake-greenwood-state-park,,,738.00,,,SC,34.196306,-81.955914,polygon_centroid,true,https://southcarolinaparks.com/park/lake-greenwood-state-park,,,,,South Carolina state park. About 738 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
lake-hartwell-state-park,26,Lake Hartwell State Park,lake-hartwell-state-park,,,308.00,,,SC,34.492653,-83.037628,polygon_centroid,true,https://southcarolinaparks.com/park/lake-hartwell-state-park,,,,,South Carolina state park. About 308 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
lake-warren-state-park,27,Lake Warren State Park,lake-warren-state-park,,,452.00,,,SC,32.830999,-81.168407,polygon_centroid,true,https://southcarolinaparks.com/park/lake-warren-state-park,,,,,South Carolina state park. About 452 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
lake-wateree-state-park,28,Lake Wateree State Park,lake-wateree-state-park,,,332.00,,,SC,34.432733,-80.862051,polygon_centroid,true,https://southcarolinaparks.com/park/lake-wateree-state-park,,,,,South Carolina state park. About 332 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
landsford-canal-state-park,29,Landsford Canal State Park,landsford-canal-state-park,,,474.00,,,SC,34.776212,-80.872372,polygon_centroid,true,https://southcarolinaparks.com/park/landsford-canal-state-park,,,,,South Carolina state park. About 474 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
lee-state-park,30,Lee State Park,lee-state-park,,,2645.00,,,SC,34.204845,-80.199864,polygon_centroid,true,https://southcarolinaparks.com/park/lee-state-park,,,,,South Carolina state park. About 2645 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
little-pee-dee-state-park,31,Little Pee Dee State Park,little-pee-dee-state-park,,,826.00,,,SC,34.323925,-79.281566,polygon_centroid,true,https://southcarolinaparks.com/park/little-pee-dee-state-park,,,,,South Carolina state park. About 826 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
long-bluff-property,49,Long Bluff Property,long-bluff-property,,,254.00,,,SC,34.514165,-79.839419,polygon_centroid,true,https://southcarolinaparks.com/park/long-bluff-property,,,,,South Carolina state park. About 254 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
mccalla-state-park,32,McCalla State Park,mccalla-state-park,,,6005.00,,,SC,34.140957,-82.667967,polygon_centroid,true,https://southcarolinaparks.com/park/mccalla-state-park,,,,,South Carolina state park. About 6005 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
