park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
bicentennial-capitol-mall-state-park,1,Bicentennial Capitol Mall State Park,bicentennial-capitol-mall-state-park,,,19.81,,,TN,36.170671,-86.787401,polygon_centroid,true,https://tnstateparks.com/parks/bicentennial-capitol-mall-state-park,,,,,Tennessee state park. About 20 acres. Access: public.,,,Cave Salamander | Carolina Satyr | Northern Zigzag Salamander | Eastern Chipmunk | Blackpoll Warbler | Blackburnian Warbler | Blue-faced Meadowhawk | Sachem, |  |  |  |  |  |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
big-cypress-tree-state-park,2,Big Cypress Tree State Park,big-cypress-tree-state-park,,,327.09,,,TN,36.200505,-88.889366,polygon_centroid,true,https://tnstateparks.com/parks/big-cypress-tree-state-park,,,,,Tennessee state park. About 327 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
big-hill-pond-state-park,3,Big Hill Pond State Park,big-hill-pond-state-park,,,4979.58,,,TN,35.032198,-88.770362,polygon_centroid,true,https://tnstateparks.com/parks/big-hill-pond-state-park,,,,,Tennessee state park. About 4980 acres. Access: public.,,,Zebra Longhorn,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
big-ridge-state-park,5,Big Ridge State Park,big-ridge-state-park,,,3862.67,,,TN,36.262546,-83.915599,polygon_centroid,true,https://tnstateparks.com/parks/big-ridge-state-park,,,,,Tennessee state park. About 3863 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
bledsoe-creek-state-park,6,Bledsoe Creek State Park,bledsoe-creek-state-park,,,162.60,,,TN,36.378435,-86.357145,polygon_centroid,true,https://tnstateparks.com/parks/bledsoe-creek-state-park,,,,,Tennessee state park. About 163 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
booker-t-washington-state-park,7,Booker T. Washington State Park,booker-t-washington-state-park,,,357.55,,,TN,35.107950,-85.177233,polygon_centroid,true,https://tnstateparks.com/parks/booker-t-washington-state-park,,,,,Tennessee state park. About 358 acres. Access: public.,,,American Bird Grasshopper | Aphrodite Fritillary, | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
burgess-falls-state-park,8,Burgess Falls State Park,burgess-falls-state-park,,,558.58,,,TN,36.051931,-85.600872,polygon_centroid,true,https://tnstateparks.com/parks/burgess-falls-state-park,,,,,Tennessee state park. About 559 acres. Access: public.,broad beech fern | northern maidenhair fern, | ,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
cedars-of-lebanon-state-park,10,Cedars of Lebanon State Park,cedars-of-lebanon-state-park,,,1340.10,,,TN,36.084047,-86.318390,polygon_centroid,true,https://tnstateparks.com/parks/cedars-of-lebanon-state-park,,,,,Tennessee state park. About 1340 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
chickasaw-state-park,11,Chickasaw State Park,chickasaw-state-park,,,1356.14,,,TN,35.386769,-88.783436,polygon_centroid,true,https://tnstateparks.com/parks/chickasaw-state-park,,,,,Tennessee state park. About 1356 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
collins-state-scenic-river,12,Collins State Scenic River,collins-state-scenic-river,,,4.31,,,TN,35.675359,-85.708409,polygon_centroid,true,https://tnstateparks.com/parks/collins-state-scenic-river,,,,,Tennessee state park. About 4 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
